Date,Cases,Deaths,Recovered,Travel_history,Province,City,Lockdown
2/26/2020,1,0,0,China,Islamabad Capital Territory,Islamabad,No
2/26/2020,2,0,0,Iran/Taftan,Sindh,Karachi,No
2/29/2020,1,0,0,China,Islamabad Capital Territory,Islamabad,No
2/29/2020,1,0,0,Iran/Taftan,Sindh,Karachi,No
03/02/2020,1,0,0,Iran/Taftan,Gilgit-Baltistan,Gilgit,No
03/06/2020,0,0,1,Unknown,Sindh,Karachi,No
03/07/2020,1,0,0,Iran/Taftan,Sindh,Karachi,No
03/09/2020,6,0,0,Syria,Sindh,Karachi,No
03/09/2020,3,0,0,UK,Sindh,Karachi,No
03/10/2020,1,0,0,Iran/Taftan,Baluchistan,Quetta,No
03/10/2020,1,0,0,Iran/Taftan,Sindh,Karachi,No
03/10/2020,1,0,0,Syria,Sindh,Hyderabad,No
03/11/2020,1,0,0,Iran/Taftan,Gilgit-Baltistan,Skardu,No
03/11/2020,0,0,1,Iran/Taftan,Sindh,Karachi,No
03/12/2020,1,0,0,Local - Social Contact,Gilgit-Baltistan,Gilgit,No
3/13/2020,7,0,0,Iran/Taftan,Baluchistan,Taftan,No
3/13/2020,1,0,0,USA,Islamabad Capital Territory,Islamabad,No
3/13/2020,1,0,1,Local - Social Contact,Sindh,Karachi,No
3/15/2020,1,0,0,UK,Punjab,Lahore,Forced
3/15/2020,13,0,0,Iran/Taftan,Sindh,Sukkur,Forced
3/15/2020,4,0,0,Iran/Taftan,Sindh,Karachi,Forced
3/15/2020,15,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan,Forced
3/15/2020,1,1,0,Unknown,Khyber Pakhtunkhwa,Mardan,Forced
3/16/2020,1,0,1,Unknown,Islamabad Capital Territory,Islamabad,Forced
3/16/2020,1,0,0,Unknown,khyber Pakhtunkhwa,Mansehra,Forced
3/16/2020,1,0,0,Unknown,Khyber Pakhtunkhwa,Mardan,Forced
3/16/2020,1,0,0,Unknown,Punjab,Lahore,Forced
3/16/2020,119,0,0,Iran/Taftan,Sindh,Sukkur,Forced
3/16/2020,26,0,0,Iran/Taftan,Sindh,Karachi,Forced
3/16/2020,2,0,0,Iran/Taftan,Sindh,Hyderabad,Forced
3/17/2020,2,0,0,Iran/Taftan,Baluchistan,Quetta,Forced
3/17/2020,1,0,0,Unknown,Islamabad Capital Territory,Islamabad,Forced
3/17/2020,1,0,0,Unknown,khyber Pakhtunkhwa,Peshawar,Forced
3/17/2020,1,0,0,UK,Khyber Pakhtunkhwa,Charsadda,Forced
3/17/2020,15,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan,Forced
3/17/2020,3,0,0,Unknown,Punjab,Lahore,Forced
3/17/2020,24,0,0,Iran/Taftan,Sindh,Sukkur,Forced
3/17/2020,5,0,0,KSA,Sindh,Karachi,Forced
3/18/2020,1,0,0,Iran/Taftan,Azad Jummu Kashmir,Mirpur,Forced
3/18/2020,10,0,0,Unknown,Gilgit-Baltistan,Gilgit,Forced
3/18/2020,2,0,0,Unknown,Islamabad Capital Territory,Islamabad,Forced
3/18/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner,Forced
3/18/2020,1,1,0,KSA,Khyber Pakhtunkhwa,Mardan ,Forced
3/18/2020,1,1,0,Unknown,Khyber Pakhtunkhwa,Hangu ,Forced
3/18/2020,5,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan,Forced
3/18/2020,31,0,0,Iran/Taftan,Sindh,Sukkur,Forced
3/18/2020,5,0,0,Local - Social Contact,Sindh,Karachi,Forced
3/19/2020,53,0,0,Iran/Taftan,Baluchistan,Quetta,Forced
3/19/2020,4,0,0,Unknown,Gilgit-Baltistan,Gilgit,Forced
3/19/2020,4,0,0,Unknown,Gilgit-Baltistan,Nagar,Forced
3/19/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mardan,Forced
3/19/2020,1,0,0,Local - Covid Relative,Khyber Pakhtunkhwa,Dera Ismail Khan,Forced
3/19/2020,1,0,0,Local - Social Contact,Punjab,Multan,Forced
3/19/2020,8,0,0,Unknown,Punjab,Lahore,Forced
3/19/2020,44,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan,Forced
3/19/2020,37,0,1,Local - Social Contact,Sindh,Karachi,Forced
3/20/2020,5,0,0,Unknown,Baluchistan,Quetta,Forced
3/20/2020,1,0,0,Unknown,Federal Administration Tribal Area,Khyber,Forced
3/20/2020,1,0,0,Local - Social Contact,Gilgit-Baltistan,Nagar,Forced
3/20/2020,8,0,0,Iran/Taftan,Gilgit-Baltistan,Gilgit,Forced
3/20/2020,1,0,0,Unknown,Khyber Pakhtunkhwa,Mansehra,Forced
3/20/2020,1,0,0,Local - Social Contact,Punjab,Rawalpindi,Forced
